Summary,Description,Priority,Status,Reporter,Assignee,Request type,Issue Type,Categoría,Date Created,Comment,Comment,Comment,Comment,Comment,Comment
ordem stop loss não executou como esperado,configurei uma stop loss pro bitcoin mas o preço passou do valor que eu defini e a ordem não executou,High,Resolved,qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:ed04d6ae-f36e-4f44-ba75-dad36ede95b7,maxyjulio18@gmail.com,Tokenia Web,Service Request,Operações de compra/venda cripto,29/Jul/24 5:50 AM,"29/Jul/24 6:24 AM;maxyjulio18@gmail.com;Olá! Vamos verificar o horário exato da sua ordem para confirmar o que ocorreu. Em movimentos muito rápidos de mercado, é possível que o preço tenha passado pelo seu valor de stop de forma tão veloz que a execução ficou marginalmente diferente do esperado, fenômeno conhecido como slippage.","29/Jul/24 6:34 AM;qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:ed04d6ae-f36e-4f44-ba75-dad36ede95b7;ah entendi, pensei que era garantido no valor exato","29/Jul/24 7:37 AM;maxyjulio18@gmail.com;Esse tipo de ordem busca o valor definido, mas em alta volatilidade pode haver uma pequena diferença na execução final. É uma característica do mercado, não um erro da plataforma.","29/Jul/24 8:50 AM;qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:ed04d6ae-f36e-4f44-ba75-dad36ede95b7;entendi, vou ficar de olho nisso da proxima vez. obrigado",,
posso comprar cripto usando saldo de outra moeda,"tenho saldo em dolares na conta, da pra usar direto pra comprar cripto ou preciso converter pra real primeiro",Low,Resolved,qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:8a0ee7d5-029c-4a08-a42f-b06768b64927,maxi220julio@gmail.com,Portal Tokenia,Service Request,Operações de compra/venda fiat,6/Jul/26 1:33 PM,"7/Jul/26 4:57 AM;maxi220julio@gmail.com;Olá! Você pode usar seu saldo em dólares diretamente para comprar criptomoedas, sem precisar converter para reais antes. A conversão é feita automaticamente na hora da operação.","7/Jul/26 5:48 AM;qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:8a0ee7d5-029c-4a08-a42f-b06768b64927;que pratico, obrigado pela informação",,,,
erro ao tentar cadastrar minha chave PIX,"toda vez que tento cadastrar minha chave PIX pra deposito da erro dizendo chave invalida, mas é uma chave que uso normalmente em outros apps",Medium,Resolved,qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:e145fbce-fd98-4ca0-8b5b-23769ae5f2ad,maximilianojavierjulio@gmail.com,Portal Tokenia,Service Request,Operações de compra/venda fiat,11/May/24 4:27 AM,"11/May/24 5:59 AM;maximilianojavierjulio@gmail.com;Olá! Poderia me informar qual tipo de chave está tentando cadastrar (CPF, e-mail, celular ou aleatória) e se ela está vinculada ao mesmo CPF da sua conta na Tokenia?","11/May/24 6:50 AM;qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:e145fbce-fd98-4ca0-8b5b-23769ae5f2ad;é a chave celular, e sim, ta no meu cpf",11/May/24 7:15 AM;maximilianojavierjulio@gmail.com;Entendido. Às vezes a formatação do número precisa incluir o DDI +55 antes do DDD. Pode tentar cadastrar assim: +55 seguido do seu número completo?,"11/May/24 8:07 AM;qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:e145fbce-fd98-4ca0-8b5b-23769ae5f2ad;funcionou dessa forma, obrigado pela dica",,
posso cancelar um saque depois de solicitado,"pedi um saque em reais mas queria cancelar porque decidi usar o valor pra comprar mais cripto, ainda da tempo?",Medium,Resolved,qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:e145fbce-fd98-4ca0-8b5b-23769ae5f2ad,maximilianojavierjulio@gmail.com,Tokenia Email,General request,Depósitos e saques,19/Jun/24 10:04 PM,"19/Jun/24 10:31 PM;maximilianojavierjulio@gmail.com;Olá! Verificamos que seu saque ainda está na fase de processamento inicial, então conseguimos cancelá-lo para você agora. O valor volta a ficar disponível no seu saldo em reais.","19/Jun/24 10:56 PM;qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:e145fbce-fd98-4ca0-8b5b-23769ae5f2ad;perfeito, era isso que eu precisava. obrigado",,,,
quanto tempo demora um saque via TED,"prefiro sacar via TED em vez de PIX, queria saber quanto tempo costuma demorar",Low,Resolved,qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:98550bc5-9bb9-469f-b7d4-4756a5f09e88,maxi220julio@gmail.com,Tokenia App,Service Request,Depósitos e saques,17/Jul/25 6:08 PM,"18/Jul/25 12:16 AM;maxi220julio@gmail.com;Olá! Saques via TED costumam ser processados em até 1 dia útil, dependendo do horário da solicitação e do banco de destino. O PIX costuma ser bem mais rápido, geralmente em minutos, caso prefira agilidade.","18/Jul/25 12:25 AM;qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:98550bc5-9bb9-469f-b7d4-4756a5f09e88;entendi, acho que vou de PIX entao. obrigado",,,,
deposito de USDC não foi reconhecido,"depositei 50 USDC via rede polygon mas o saldo nao apareceu, ja tem mais de uma hora",High,Resolved,qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:98550bc5-9bb9-469f-b7d4-4756a5f09e88,maxi220julio@gmail.com,Portal Tokenia,Service Request,Depósitos e saques,22/Jan/25 6:00 PM,"22/Jan/25 6:59 PM;maxi220julio@gmail.com;Olá! Poderia me confirmar se a rede Polygon é suportada para depósitos de USDC na sua tela, e me enviar o hash da transação para verificarmos?","22/Jan/25 7:31 PM;qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:98550bc5-9bb9-469f-b7d4-4756a5f09e88;aqui só tinha ERC20 e TRC20 pra USDC, acho que enviei pela rede errada entao","22/Jan/25 8:59 PM;maxi220julio@gmail.com;Entendido, isso explica o ocorrido. Vamos verificar se é possível localizar e recuperar essa transação manualmente. Pode me confirmar o hash e o endereço de destino que usou?","22/Jan/25 10:07 PM;qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:98550bc5-9bb9-469f-b7d4-4756a5f09e88;claro, te mando agora",,
quero desativar notificações de login por email,"toda vez que entro na conta recebo um email avisando, queria desativar isso porque acho desnecessario",Medium,Resolved,qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:bc0cf60c-4d7c-44c5-b1c0-9ddfc9a18eb2,maximilianojavierjulio@gmail.com,Tokenia Web,Service Request,Segurança da conta,8/Oct/24 10:38 PM,"8/Oct/24 11:37 PM;maximilianojavierjulio@gmail.com;Olá! Entendo, mas por questões de segurança recomendamos manter essa notificação ativa, já que ela ajuda a identificar acessos não autorizados rapidamente. Ainda assim, é possível desativar em Configurações > Notificações > Alertas de login, se preferir.","9/Oct/24 12:15 AM;qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:bc0cf60c-4d7c-44c5-b1c0-9ddfc9a18eb2;entendi o motivo, mas vou desativar mesmo assim. obrigado",,,,
recebi email suspeito pedindo pra confirmar meus dados,"recebi um email meio estranho da tokenia pedindo pra eu confirmar senha e dados do cartão, isso é real?",High,Resolved,qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:3b3304dc-2f4a-4a0c-94fd-cfc9d201d002,maximilianojavierjulio@gmail.com,Tokenia Web,Service Request,Segurança da conta,14/Sep/25 8:12 AM,"14/Sep/25 8:24 AM;maximilianojavierjulio@gmail.com;Olá! Que bom que nos procurou antes de clicar em qualquer link. Esse e-mail não é da Tokenia — nós nunca solicitamos senha, código de verificação ou dados de cartão por e-mail. Recomendamos não clicar em nenhum link e apagar essa mensagem.","14/Sep/25 9:23 AM;qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:3b3304dc-2f4a-4a0c-94fd-cfc9d201d002;que bom que perguntei entao, ia quase clicar","14/Sep/25 10:44 AM;maximilianojavierjulio@gmail.com;Fez muito bem em checar! Se quiser, pode encaminhar esse e-mail pra nós para registrarmos o caso e ajudar a alertar outros usuários.","14/Sep/25 10:57 AM;qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:3b3304dc-2f4a-4a0c-94fd-cfc9d201d002;vou encaminhar sim, obrigado pela atenção",,
endereço de deposito expira depois de um tempo,"gerei um endereço de deposito de bitcoin faz uns meses, ele ainda é valido ou preciso gerar um novo",Medium,Resolved,qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:98550bc5-9bb9-469f-b7d4-4756a5f09e88,maximilianojavierjulio@gmail.com,Tokenia Web,Service Request,Carteira e endereços,31/May/26 10:48 PM,"1/Jun/26 4:52 AM;maximilianojavierjulio@gmail.com;Olá! Endereços de depósito gerados na Tokenia não expiram, então esse mesmo endereço continua válido para novos depósitos a qualquer momento.","1/Jun/26 5:11 AM;qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:98550bc5-9bb9-469f-b7d4-4756a5f09e88;que bom, nao vou precisar gerar outro entao. obrigado",,,,
a Tokenia tem programa de afiliados pra criadores de conteudo,"sou criador de conteudo sobre criptomoedas, queria saber se voces tem algum programa de parceria alem do indique e ganhe normal",Low,Resolved,qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:ebdc7d4f-7a89-4bb1-a131-b652ee3ba99b,maxi220julio@gmail.com,Tokenia Email,General request,Informações e dúvidas gerais,21/Aug/24 6:57 AM,"21/Aug/24 5:18 PM;maxi220julio@gmail.com;Olá! Temos sim um programa de parcerias voltado para criadores de conteúdo, com condições diferenciadas. Para participar, você pode preencher o formulário disponível na seção 'Parcerias' do nosso site institucional.","21/Aug/24 6:27 PM;qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:ebdc7d4f-7a89-4bb1-a131-b652ee3ba99b;legal, vou preencher o formulario. obrigado pela informação",,,,
existe desconto na taxa pra quem opera muito volume,"opero um volume razoavel todo mes, tem algum desconto na taxa pra usuarios mais ativos",Medium,Resolved,qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:c76e25ce-1103-4288-a853-a756f7dcaabf,maxyjulio18@gmail.com,Tokenia Email,General request,Tarifas e comissões,28/Apr/26 3:02 PM,"28/Apr/26 5:30 PM;maxyjulio18@gmail.com;Olá! Sim, temos um programa de taxas escalonadas por volume mensal negociado. Usuários com maior volume de operações podem solicitar uma análise para taxas reduzidas através do nosso time de relacionamento.","28/Apr/26 6:42 PM;qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:c76e25ce-1103-4288-a853-a756f7dcaabf;legal, como faço pra solicitar essa analise",28/Apr/26 6:47 PM;maxyjulio18@gmail.com;Basta enviar um e-mail para o setor de relacionamento com seu volume médio mensal que eles avaliam a elegibilidade e retornam com uma proposta.,"28/Apr/26 8:08 PM;qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:c76e25ce-1103-4288-a853-a756f7dcaabf;vou enviar entao, obrigado pela orientação",,
app trava toda vez que tento fazer login,"desde a ultima atualização o app trava e fecha assim que eu coloco email e senha, nao consigo nem entrar",High,Escalated,qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:b7a06e76-4e6b-48b6-a6c2-1f5297504226,maxyjulio18@gmail.com,Portal Tokenia,Service Request,Problemas técnicos do app/site,15/Sep/25 8:54 PM,"15/Sep/25 10:13 PM;maxyjulio18@gmail.com;Olá, sentimos muito pelo transtorno. Já identificamos relatos parecidos após a última atualização e vou escalar seu caso para nosso time técnico priorizar uma correção. Enquanto isso, você consegue acessar sua conta pela versão web?","15/Sep/25 10:25 PM;qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:b7a06e76-4e6b-48b6-a6c2-1f5297504226;consegui pelo site, mas prefiro usar o app no dia a dia","15/Sep/25 11:00 PM;maxyjulio18@gmail.com;Entendemos a preferência. Assim que o time técnico lançar a correção, vamos te avisar por aqui para atualizar o aplicativo.",,,
minha conta esta marcada como restrita sem eu saber o motivo,"entrei hoje e vi um aviso de conta restrita no topo do app, nao fiz nada de diferente do normal",Medium,Resolved,qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:74b34d2b-8c7a-4390-a0d5-6fe51576bcc9,maxyjulio18@gmail.com,Portal Tokenia,Service Request,Limites e restrições,2/May/25 5:50 AM,"2/May/25 9:36 AM;maxyjulio18@gmail.com;Olá! Verificamos aqui e a restrição foi aplicada por um padrão de segurança automático, sem indício de irregularidade na sua conta. Já removemos a restrição.","2/May/25 10:56 AM;qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:74b34d2b-8c7a-4390-a0d5-6fe51576bcc9;que bom, ja sumiu o aviso aqui tambem. obrigado",,,,
preciso de limite maior pra uma operação pontual,vou receber uma quantia grande em cripto de um cliente meu e preciso que meu limite de deposito seja maior por um tempo,High,Waiting for Customer,qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:1c6c8f3c-0b42-4193-b8f6-814150c2f7da,maxyjulio18@gmail.com,Portal Tokenia,Service Request,Limites e restrições,3/Feb/25 3:24 PM,"3/Feb/25 4:23 PM;maxyjulio18@gmail.com;Olá! Para liberar um limite temporário maior, precisamos que você envie uma justificativa da operação junto com algum documento que comprove a origem do valor. Pode nos enviar isso?","3/Feb/25 5:51 PM;qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:1c6c8f3c-0b42-4193-b8f6-814150c2f7da;posso enviar o contrato que fiz com esse cliente, serve?","3/Feb/25 7:05 PM;maxyjulio18@gmail.com;Perfeito, esse documento serve. Pode enviar quando puder que já damos andamento na análise.",,,
limite de operações por dia é o mesmo pra todos os usuarios,queria saber se o limite diario de operações muda dependendo do tempo de conta ou é sempre igual,Low,Resolved,qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:4d958f1b-e893-41fe-b2c5-f0f6163cdd67,maxi220julio@gmail.com,Tokenia Email,General request,Limites e restrições,11/Mar/24 2:17 AM,"11/Mar/24 4:15 AM;maxi220julio@gmail.com;Olá! O limite inicial é o mesmo para todos os usuários verificados. Conforme o histórico de uso da conta se consolida, é possível solicitar aumentos progressivos, mas isso depende de solicitação, não é automático.","11/Mar/24 4:55 AM;qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:4d958f1b-e893-41fe-b2c5-f0f6163cdd67;entendi, obrigado pela explicação",,,,
conta suspensa completamente sem aviso previo,"de repente minha conta ficou totalmente suspensa, nao consigo nem ver meu saldo, e eu nao fiz nada estranho",Highest,Escalated,qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:e145fbce-fd98-4ca0-8b5b-23769ae5f2ad,maxi220julio@gmail.com,Portal Tokenia,Service Request,Limites e restrições,23/Jul/24 1:48 AM,"23/Jul/24 1:59 AM;maxi220julio@gmail.com;Olá, entendo sua preocupação. Suspensões completas geralmente exigem uma análise específica do nosso time de compliance. Vou escalar seu caso imediatamente para que revisem o motivo com prioridade.","23/Jul/24 2:37 AM;qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:e145fbce-fd98-4ca0-8b5b-23769ae5f2ad;por favor, tenho um valor considerável parado ai, preciso de uma resposta","23/Jul/24 2:47 AM;maxi220julio@gmail.com;Compreendo totalmente a urgência da situação. Já sinalizei seu caso como prioritário. Assim que tivermos um retorno do time responsável, entramos em contato por aqui o quanto antes.",,,
solicitei aumento de limite e nao teve resposta,preenchi o formulario de aumento de limite semana passada e ate agora nao recebi retorno nenhum,Medium,Work in Progress,qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:eb9cbe24-105c-40ed-844a-c2c2ea40c29f,maxyjulio18@gmail.com,Tokenia Web,Service Request,Limites e restrições,1/Jul/24 9:53 AM,1/Jul/24 3:31 PM;maxyjulio18@gmail.com;Olá! Peço desculpas pela demora. Vou verificar o status da sua solicitação junto ao time responsável e te retorno assim que tivermos uma posição.,"1/Jul/24 4:22 PM;qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:eb9cbe24-105c-40ed-844a-c2c2ea40c29f;ok, fico no aguardo entao",,,,
limite de saque muda conforme o nivel de verificação,"vi que tem niveis diferentes de verificação, isso influencia no limite de saque que eu tenho?",Low,Resolved,qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:e145fbce-fd98-4ca0-8b5b-23769ae5f2ad,maximilianojavierjulio@gmail.com,Portal Tokenia,Service Request,Limites e restrições,11/May/24 4:27 AM,"11/May/24 7:31 AM;maximilianojavierjulio@gmail.com;Olá! Sim, exatamente. Contas com verificação básica têm limites menores, enquanto verificações mais completas, com comprovação de renda por exemplo, liberam limites maiores de saque.","11/May/24 8:22 AM;qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:e145fbce-fd98-4ca0-8b5b-23769ae5f2ad;entendi, vou completar minha verificação entao. obrigado",,,,
posso usar passaporte em vez de RG pra verificação,"meu RG esta vencido, posso usar o passaporte pra fazer a verificação de identidade",Medium,Resolved,qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:8a99a275-7ced-4af7-bae8-9d134b24be3e,maxi220julio@gmail.com,Tokenia App,Service Request,Verificação de identidade,19/Apr/25 5:39 PM,"19/Apr/25 8:11 PM;maxi220julio@gmail.com;Olá! Sim, o passaporte válido é um dos documentos aceitos para verificação, sem problema algum.","19/Apr/25 9:37 PM;qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:8a99a275-7ced-4af7-bae8-9d134b24be3e;otimo, vou usar ele entao. obrigado",,,,
selfie de verificação sendo recusada repetidamente,"ja tentei tirar a selfie de verificação umas 4 vezes e sempre é recusada, nao sei mais o que fazer",High,Waiting for Customer,qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:eb9cbe24-105c-40ed-844a-c2c2ea40c29f,maximilianojavierjulio@gmail.com,Tokenia App,Service Request,Verificação de identidade,9/Nov/24 8:05 PM,"9/Nov/24 9:05 PM;maximilianojavierjulio@gmail.com;Olá! Sentimos pela dificuldade. Alguns motivos comuns de recusa são iluminação inadequada, óculos escuros ou o documento não estar totalmente legível na foto. Pode tentar novamente em um ambiente bem iluminado, sem acessórios no rosto e segurando o documento próximo ao peito?",9/Nov/24 9:51 PM;qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:eb9cbe24-105c-40ed-844a-c2c2ea40c29f;vou tentar seguindo essas dicas e te aviso se der certo,,,,
quanto tempo leva a verificação completa,"vou comecar o processo de verificação agora, queria saber uma estimativa de prazo",Low,Resolved,qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:4d958f1b-e893-41fe-b2c5-f0f6163cdd67,maxyjulio18@gmail.com,Tokenia Email,General request,Verificação de identidade,14/Nov/25 4:30 AM,"14/Nov/25 12:14 PM;maxyjulio18@gmail.com;Olá! O prazo padrão é de até 48 horas úteis após o envio de todos os documentos solicitados, mas muitas vezes é aprovado bem antes disso.","14/Nov/25 1:42 PM;qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:4d958f1b-e893-41fe-b2c5-f0f6163cdd67;otimo, vou comecar agora entao. obrigado",,,,
verificação recusada mesmo com documentos corretos,"enviei RG e selfie corretos, tudo legivel, mas mesmo assim foi recusado sem explicação clara",High,Escalated,qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:98550bc5-9bb9-469f-b7d4-4756a5f09e88,maximilianojavierjulio@gmail.com,Tokenia Web,Service Request,Verificação de identidade,8/Oct/24 10:38 PM,"8/Oct/24 11:00 PM;maximilianojavierjulio@gmail.com;Olá, peço desculpas pelo transtorno. Como os documentos aparentam estar corretos, vou escalar seu caso para uma revisão manual mais detalhada pela nossa equipe de compliance.","8/Oct/24 11:38 PM;qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:98550bc5-9bb9-469f-b7d4-4756a5f09e88;por favor, ja é a segunda vez que tento e nao entendo o motivo",9/Oct/24 12:57 AM;maximilianojavierjulio@gmail.com;Compreendo a frustração. Nosso time especializado vai analisar seu caso individualmente e retornar com uma explicação clara em até 24 horas úteis.,,,
preciso atualizar meu endereço cadastrado,me mudei recentemente e queria atualizar o endereço que ta no meu cadastro de verificação,Medium,Work in Progress,qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:bc0cf60c-4d7c-44c5-b1c0-9ddfc9a18eb2,maximilianojavierjulio@gmail.com,Tokenia Web,Service Request,Verificação de identidade,14/Sep/25 8:12 AM,"14/Sep/25 8:46 AM;maximilianojavierjulio@gmail.com;Olá! Para atualizar o endereço, é necessário enviar um comprovante de residência recente em nome do titular da conta. Você pode nos enviar esse documento?",14/Sep/25 9:45 AM;qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:bc0cf60c-4d7c-44c5-b1c0-9ddfc9a18eb2;vou providenciar e envio em breve,,,,
minha verificação foi aprovada mas ainda aparece pendente no app,recebi email dizendo que fui aprovado na verificação mas no app continua aparecendo como pendente,Medium,Resolved,qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:1007ee5e-c272-40ae-811d-eed78b3d4e7c,maxi220julio@gmail.com,Tokenia Web,Service Request,Verificação de identidade,26/Feb/26 2:09 AM,26/Feb/26 5:21 AM;maxi220julio@gmail.com;Olá! Verificamos aqui e sua conta já consta como totalmente verificada em nosso sistema. Pode ser um pequeno atraso na atualização visual do app. Você pode tentar fazer logout e login novamente para atualizar?,"26/Feb/26 6:00 AM;qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:1007ee5e-c272-40ae-811d-eed78b3d4e7c;fiz isso e agora ja aparece verificado, obrigado",,,,
tem aplicativo pra iphone e android,queria saber se o app da tokenia esta disponivel tanto pra iphone quanto pra android,Low,Resolved,qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:cf6bd68c-2cf4-4fa6-93ba-fc96a0e57143,maxyjulio18@gmail.com,Tokenia Email,General request,Informações e dúvidas gerais,5/Jan/26 9:13 AM,"5/Jan/26 4:47 PM;maxyjulio18@gmail.com;Olá! Sim, temos o aplicativo disponível tanto na App Store para iPhone quanto na Play Store para Android.","5/Jan/26 5:05 PM;qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:cf6bd68c-2cf4-4fa6-93ba-fc96a0e57143;otimo, vou baixar no meu iphone entao. obrigado",,,,
posso ter mais de uma conta na Tokenia,"queria saber se é permitido ter mais de uma conta, uma pessoal e uma pra investimentos separados",Low,Resolved,qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:82ce44fa-76c2-43f3-bf42-64a209d1fd28,maximilianojavierjulio@gmail.com,Tokenia App,Service Request,Informações e dúvidas gerais,24/Oct/24 10:15 AM,"24/Oct/24 3:17 PM;maximilianojavierjulio@gmail.com;Olá! Nossa política permite apenas uma conta por CPF, por questões de segurança e conformidade. Mas você pode organizar seus investimentos usando carteiras ou categorias separadas dentro da mesma conta.","24/Oct/24 3:36 PM;qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:82ce44fa-76c2-43f3-bf42-64a209d1fd28;entendi, vou organizar por dentro entao. obrigado",,,,
como funciona a declaração de imposto de renda das operações,opero bastante na plataforma e queria entender se voces fornecem algum relatorio pra declaração de imposto de renda,Medium,Resolved,qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:bc0cf60c-4d7c-44c5-b1c0-9ddfc9a18eb2,maxi220julio@gmail.com,Tokenia App,Service Request,Informações e dúvidas gerais,29/May/24 11:36 PM,"30/May/24 1:47 AM;maxi220julio@gmail.com;Olá! Sim, disponibilizamos um relatório anual consolidado de operações na seção 'Relatórios' do seu perfil, que pode ser usado como base para sua declaração. Recomendamos consultar um contador para orientação específica sobre tributação de criptoativos.","30/May/24 2:54 AM;qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:bc0cf60c-4d7c-44c5-b1c0-9ddfc9a18eb2;perfeito, vou baixar esse relatorio. obrigado pela informação",,,,
queria sugerir a inclusão de uma nova criptomoeda,"uso bastante uma cripto que nao ta disponivel na plataforma de voces, tem como sugerir a inclusão dela",Low,Waiting for Agent,qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:ebdc7d4f-7a89-4bb1-a131-b652ee3ba99b,maximilianojavierjulio@gmail.com,Tokenia App,Service Request,Informações e dúvidas gerais,16/Sep/24 10:46 AM,"16/Sep/24 3:07 PM;qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:ebdc7d4f-7a89-4bb1-a131-b652ee3ba99b;boa tarde, gostaria de sugerir a listagem de uma criptomoeda que nao encontrei na plataforma, como faço isso",,,,,
onde encontro os termos de uso atualizados,queria ler os termos de uso completos da plataforma antes de continuar operando,Low,Resolved,qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:8a0ee7d5-029c-4a08-a42f-b06768b64927,maximilianojavierjulio@gmail.com,Tokenia App,Service Request,Informações e dúvidas gerais,28/Jun/25 5:37 AM,"28/Jun/25 11:10 AM;maximilianojavierjulio@gmail.com;Olá! Os termos de uso atualizados estão disponíveis no rodapé do nosso site institucional, na seção 'Termos e Políticas'.","28/Jun/25 12:21 PM;qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:8a0ee7d5-029c-4a08-a42f-b06768b64927;achei, obrigado pela indicação",,,,
a taxa muda dependendo do valor da operação,queria saber se a taxa de 1% é fixa ou se muda conforme eu opero valores maiores,Medium,Resolved,qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:ed04d6ae-f36e-4f44-ba75-dad36ede95b7,maxyjulio18@gmail.com,Tokenia App,Service Request,Tarifas e comissões,8/Jun/24 11:03 AM,"8/Jun/24 1:20 PM;maxyjulio18@gmail.com;Olá! Para a maioria dos usuários a taxa é fixa em 1%, independente do valor. Reduções são aplicadas apenas em casos de alto volume mensal negociado com nosso time de relacionamento.","8/Jun/24 1:53 PM;qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:ed04d6ae-f36e-4f44-ba75-dad36ede95b7;entendi, obrigado pela explicação",,,,
fui cobrado duas vezes pela mesma operação,fiz uma compra de ETH e no extrato apareceu a taxa cobrada duas vezes pro mesmo horario e valor,High,Escalated,qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:1007ee5e-c272-40ae-811d-eed78b3d4e7c,maximilianojavierjulio@gmail.com,Portal Tokenia,Service Request,Tarifas e comissões,19/Feb/25 3:34 PM,"19/Feb/25 11:42 PM;maximilianojavierjulio@gmail.com;Olá, obrigado por reportar. Uma cobrança duplicada é uma situação séria que precisa de análise financeira detalhada. Vou escalar seu caso agora mesmo para o time responsável verificar.","20/Feb/25 12:29 AM;qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:1007ee5e-c272-40ae-811d-eed78b3d4e7c;por favor, preciso do reembolso caso confirme o erro","20/Feb/25 12:43 AM;maximilianojavierjulio@gmail.com;Entendido. Caso a duplicidade seja confirmada, o valor cobrado indevidamente será estornado integralmente. Vamos te atualizar assim que a análise for concluída.",,,
tem taxa pra transferir cripto entre usuarios da Tokenia,queria saber se tem alguma taxa quando mando cripto pra outro usuario que tambem tem conta na Tokenia,Low,Resolved,qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:4d958f1b-e893-41fe-b2c5-f0f6163cdd67,maxi220julio@gmail.com,Tokenia Web,Service Request,Tarifas e comissões,27/Jan/25 7:19 PM,"27/Jan/25 11:49 PM;maxi220julio@gmail.com;Olá! Transferências entre usuários dentro da Tokenia são gratuitas, sem taxa de rede nem taxa de serviço.","28/Jan/25 12:54 AM;qm:96e3bf0d-beea-4cd2-bca9-568ee30412d2:4d958f1b-e893-41fe-b2c5-f0f6163cdd67;que bom, obrigado pela informação",,,,
